account_id,hotel_name,rank_bucket,ranking_reason,operator_note,contact_attempt_status,next_action
acc_5970be661818,Jonah’s Restaurant & Boutique Hotel,A,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_9f2cb7250cf5,Miramare Gardens,A,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_462634ba1b0d,The Hornsby Inn,A,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_d7e3595aefb6,Billabong Retreat,A,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_50ce289c9223,Spicers Sangoma Retreat,A,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_6bb4cbb1a3e4,Seranin | Gordon,A,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_85a1025fc0d6,Quest Bella Vista,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_30048fcea764,Royal Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_401880adbecd,Quest Penrith,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_40da1daa32cc,Doonside Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_42f76f030265,Lucky Australian Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_2dcdede0d879,Overlander Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_b00f68991e06,The Tropicana Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_ea167e4b5929,Silkari Mirage at Newport,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_f0cd815b5279,St Marys Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_0b282bf71426,Hornsby Railway Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_a3552dd1f448,Wisemans Retreat,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_de8718696d9d,Blacktown Tavern,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_6a836cfd34df,Time and Tide Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
acc_d8b3b2ae1818,Wallacia Hotel,B,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,,,
