account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url
acc_289b11d6c3e4,1,raw_bratislava region_2026-04-01_21-01-58-857.csv,Loft Hotel Bratislava,loft hotel bratislava,SK,Bratislava,,Štefánikova 864/4,https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph,lofthotel.sk,+421 901 902 680,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.7,1252,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,93.69,9.37,High,unique,loft hotel bratislava|bratislava|tef nikova 864 4,no,no,,no,https://www.google.com/maps/search/?api=1&query=Loft%20Hotel%20Bratislava&query_place_id=ChIJC4TRo1CJbEcRDJ1qJRu9pI4
acc_f249bf38e267,2,raw_bratislava region_2026-04-01_21-01-58-857.csv,CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,chors like a hotel capsule nft boutique hostel bratislava,SK,Bratislava,,Obchodná 43,http://www.cho.rs/,cho.rs,+421 910 127 878,Kapsulový hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.4,784,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,93.63,9.36,High,unique,chors like a hotel capsule nft boutique hostel bratislava|bratislava|obchodn 43,no,no,,no,https://www.google.com/maps/search/?api=1&query=CHORS%20like%20a%20hotel%20%7C%20Capsule%20%26%20NFT%20Boutique%20Hostel%20Bratislava&query_place_id=ChIJF5CPfieJbEcReoFNp1HUQZc
acc_7be2b5705eed,3,raw_bratislava region_2026-04-01_21-01-58-857.csv,HOTEL BRATISLAVA,hotel bratislava,SK,Bratislava,,Seberíniho 1765/9,http://www.hotelbratislava.sk/,hotelbratislava.sk,+421 2/206 061 00,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.1,3307,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,93.57,9.36,High,unique,hotel bratislava|bratislava|seber niho 1765 9,no,no,,no,https://www.google.com/maps/search/?api=1&query=HOTEL%20BRATISLAVA&query_place_id=ChIJFdNwvSyPbEcR-JkGjN9fQJE
acc_bf643e4ae55a,4,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Gracia Bratislava,hotel gracia bratislava,SK,Bratislava,,Rázusovo nábrežie 32,http://www.botelgracia.sk/,botelgracia.sk,+421 2/544 321 32,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,3.9,1032,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,93.53,9.35,High,unique,hotel gracia bratislava|bratislava|r zusovo n bre ie 32,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Gracia%20Bratislava&query_place_id=ChIJL_xSRGiJbEcRYvQCZhh9wE8
acc_bc0ee9d6150b,5,raw_bratislava region_2026-04-01_21-01-58-857.csv,SKARITZ Hotel & Residence,skaritz hotel residence,SK,Bratislava,,Michalská 382,https://skaritz.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,skaritz.com,+421 2/592 097 70,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.6,527,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,92.07,9.21,High,unique,skaritz hotel residence|bratislava|michalsk 382,no,no,,no,https://www.google.com/maps/search/?api=1&query=SKARITZ%20Hotel%20%26%20Residence&query_place_id=ChIJqWbI2VyJbEcRDgiRvT3gLGk
acc_91cc7fd3daeb,6,raw_bratislava region_2026-04-01_21-01-58-857.csv,William's apartments s.r.o,william s apartments s r o,SK,Bratislava,,Fialová 2C,https://www.william-s-apartments.eu/william-s-apartment/,william-s-apartments.eu,+421 908 542 052,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,5.0,6,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,90.76,9.08,High,unique,william s apartments s r o|bratislava|fialov 2c,no,no,,no,https://www.google.com/maps/search/?api=1&query=William's%20apartments%20s.r.o&query_place_id=ChIJu9dI1tiJbEcRC3UHHRU7A-Y
acc_a33ba9d035ac,7,raw_bratislava region_2026-04-01_21-01-58-857.csv,HOTEL DEVÍN,hotel dev n,SK,Bratislava,,Riečna 162/4,http://www.hoteldevin.sk/,hoteldevin.sk,+421 2/599 851 11,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.5,1982,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,90.45,9.04,High,unique,hotel dev n|bratislava|rie na 162 4,no,no,,no,https://www.google.com/maps/search/?api=1&query=HOTEL%20DEV%C3%8DN&query_place_id=ChIJ0RTfP2iJbEcR7Xs3j8YvZ7s
acc_ea770ab6cc4e,8,raw_bratislava region_2026-04-01_21-01-58-857.csv,Falkensteiner Hotel Bratislava,falkensteiner hotel bratislava,SK,Bratislava,,Pilárikova 7372,https://www.falkensteiner.com/en/hotel-bratislava,falkensteiner.com,+421 2/592 361 00,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.4,2496,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,90.43,9.04,High,unique,falkensteiner hotel bratislava|bratislava|pil rikova 7372,no,no,,no,https://www.google.com/maps/search/?api=1&query=Falkensteiner%20Hotel%20Bratislava&query_place_id=ChIJGWe3a1yJbEcRuWzxtO9GYVY
acc_a917450c7e8d,9,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Color,hotel color,SK,Bratislava,,Pri Starom mýte 3095/1,https://www.hotelcolor.sk/,hotelcolor.sk,+421 917 925 200,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.3,1296,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,90.41,9.04,High,unique,hotel color|bratislava|pri starom m te 3095 1,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Color&query_place_id=ChIJ89Iw1vqObEcRguQA36i6QNY
acc_411bb39fa87f,10,raw_bratislava region_2026-04-01_21-01-58-857.csv,Hotel Divoká voda,hotel divok voda,SK,Bratislava,,Vodné dielo Čunovo,http://www.divokavoda.sk/,divokavoda.sk,+421 2/625 280 02,Hotel,Preferred hotel,Core geography,Independent candidate,Independent operator candidate,4.1,837,97.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,ready_ranked,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,top_tier_candidate,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | core_geography,90.37,9.04,High,unique,hotel divok voda|bratislava|vodn dielo unovo,no,no,,no,https://www.google.com/maps/search/?api=1&query=Hotel%20Divok%C3%A1%20voda&query_place_id=ChIJezFXyat9bEcRLcbKbAWLyz4
