account_id,hotel_name,review_bucket,review_reason,followup_owner,followup_status,followup_note
acc_5970be661818,Jonah’s Restaurant & Boutique Hotel,manual_review,out_of_profile_geography,,,
acc_9f2cb7250cf5,Miramare Gardens,manual_review,out_of_profile_geography,,,
acc_462634ba1b0d,The Hornsby Inn,manual_review,out_of_profile_geography,,,
acc_d7e3595aefb6,Billabong Retreat,manual_review,out_of_profile_geography,,,
acc_50ce289c9223,Spicers Sangoma Retreat,manual_review,out_of_profile_geography,,,
acc_6bb4cbb1a3e4,Seranin | Gordon,manual_review,out_of_profile_geography,,,
acc_85a1025fc0d6,Quest Bella Vista,manual_review,out_of_profile_geography,,,
acc_30048fcea764,Royal Hotel,manual_review,out_of_profile_geography,,,
acc_401880adbecd,Quest Penrith,manual_review,out_of_profile_geography,,,
acc_40da1daa32cc,Doonside Hotel,manual_review,out_of_profile_geography,,,
acc_42f76f030265,Lucky Australian Hotel,manual_review,out_of_profile_geography,,,
acc_2dcdede0d879,Overlander Hotel,manual_review,out_of_profile_geography,,,
acc_b00f68991e06,The Tropicana Hotel,manual_review,out_of_profile_geography,,,
acc_ea167e4b5929,Silkari Mirage at Newport,manual_review,out_of_profile_geography,,,
acc_f0cd815b5279,St Marys Hotel,manual_review,out_of_profile_geography,,,
acc_0b282bf71426,Hornsby Railway Hotel,manual_review,out_of_profile_geography,,,
acc_a3552dd1f448,Wisemans Retreat,manual_review,out_of_profile_geography,,,
acc_de8718696d9d,Blacktown Tavern,manual_review,out_of_profile_geography,,,
acc_6a836cfd34df,Time and Tide Hotel,manual_review,out_of_profile_geography,,,
acc_d8b3b2ae1818,Wallacia Hotel,manual_review,out_of_profile_geography,,,
acc_98f1c261dbe2,Gateway Motel,manual_review,out_of_profile_geography,,,
acc_0896e3e596db,Killara Hotel & Suites,manual_review,out_of_profile_geography,,,
acc_1d8f04b549ce,Nesuto Pennant Hills Apartment Hotel,manual_review,out_of_profile_geography,,,
acc_cf3b7806b0c4,The Select Inn Penrith | Hotel in Penrith,manual_review,out_of_profile_geography,,,
acc_800415c6d08f,Littomore Suites Kingswood,manual_review,out_of_profile_geography,,,
acc_e6298bd0feb2,Astina Suites,manual_review,out_of_profile_geography,,,
acc_55f6a716cc6b,Quality Inn Penrith,manual_review,out_of_profile_geography,,,
acc_1af3327afca6,Checkers Resort & Conference Centre,manual_review,out_of_profile_geography,,,
acc_bfbf05dbd84f,Punthill Apartment Hotels | Norwest,manual_review,out_of_profile_geography,,,
acc_d7ac2de6e992,Parkway Hotel,manual_review,out_of_profile_geography,,,
acc_68987c26bd89,Relaxin,manual_review,out_of_profile_geography,,,
acc_c5612afb14a2,The Lodge Blacktown,manual_review,out_of_profile_geography,,,
acc_8e953d323791,Quality Apartments Castle Hill,manual_review,out_of_profile_geography,,,
acc_2072ec7b168b,Plumpton Hotel,manual_review,possible_chain | out_of_profile_geography,,,
acc_a51c4a1421b7,Colonial Hotel,manual_review,out_of_profile_geography,,,
acc_f89af8b01963,Dee Why Hotel,manual_review,out_of_profile_geography,,,
acc_f73d32cce994,Bella Vista Hotel,manual_review,out_of_profile_geography,,,
acc_cf3638bb6905,The Greengate Hotel,manual_review,out_of_profile_geography,,,
acc_3690acc80b5c,Ingenia Holidays Nepean River,manual_review,out_of_profile_geography,,,
acc_ed7ca1394f41,Mullane's Hotel,manual_review,out_of_profile_geography,,,
acc_4ac34b0098ea,Blue Cattle Dog Hotel,manual_review,out_of_profile_geography,,,
acc_29358c6e001f,Hotel Pennant Hills,manual_review,out_of_profile_geography,,,
acc_08daa0dc47d6,The Richmond Inn,manual_review,out_of_profile_geography,,,
acc_35a59e1c0f4f,Pymble Hotel,manual_review,out_of_profile_geography,,,
acc_91cfbc59d9f8,Crowne Plaza Hawkesbury Valley by IHG,manual_review,possible_chain | out_of_profile_geography,,,
acc_6f9db68d40da,Peppers The Hills Lodge,manual_review,possible_chain | out_of_profile_geography,,,
