hotel_name,city,priority_band,priority_score,website,phone,contact_status,factual_summary,subject_line,hook,cold_email,followup_email,source_file
Loft Hotel Bratislava,Bratislava,High,9.37,https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph,+421 901 902 680,Overené z raw vstupu: web aj telefón,Hotel: Loft Hotel Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.37) | Hodnotenie: 4.7/5 z 1252 recenzií | Web: https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph | Telefón: +421 901 902 680 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Loft Hotel Bratislava: krátky nápad,Pozeral som sa na Loft Hotel Bratislava v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na Loft Hotel Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.37), s hodnotením 4.7/5 z 1252 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Loft Hotel Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Loft Hotel Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
"Radisson Blu Carlton Hotel, Bratislava",Bratislava,High,9.36,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR,+421 2/593 905 00,Overené z raw vstupu: web aj telefón,"Hotel: Radisson Blu Carlton Hotel, Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.36) | Hodnotenie: 4.6/5 z 2892 recenzií | Web: https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR | Telefón: +421 2/593 905 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)","Radisson Blu Carlton Hotel, Bratislava: krátky nápad","Pozeral som sa na Radisson Blu Carlton Hotel, Bratislava v lokalite Bratislava.","Dobrý deň,

Pozeral som sa na Radisson Blu Carlton Hotel, Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.36), s hodnotením 4.6/5 z 2892 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Radisson Blu Carlton Hotel, Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Radisson Blu Carlton Hotel, Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Areál vodných športov Čunovo,Čunovo,High,9.35,http://www.divokavoda.sk/,+421 905 313 429,Overené z raw vstupu: web aj telefón,Hotel: Areál vodných športov Čunovo | Mesto: Čunovo | Kategória: Hotel | Priorita: High (9.35) | Hodnotenie: 4.5/5 z 931 recenzií | Web: http://www.divokavoda.sk/ | Telefón: +421 905 313 429 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Areál vodných športov Čunovo: krátky nápad,Pozeral som sa na Areál vodných športov Čunovo v lokalite Čunovo.,"Dobrý deň,

Pozeral som sa na Areál vodných športov Čunovo v lokalite Čunovo.
Pozrel som si váš verejný profil v lokalite Čunovo, s prioritou High (9.35), s hodnotením 4.5/5 z 931 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Areál vodných športov Čunovo.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Areál vodných športov Čunovo.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
AC Hotel Bratislava Old Town,Bratislava,High,9.35,https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/200 200 00,Overené z raw vstupu: web aj telefón,Hotel: AC Hotel Bratislava Old Town | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.35) | Hodnotenie: 4.5/5 z 890 recenzií | Web: https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0 | Telefón: +421 2/200 200 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),AC Hotel Bratislava Old Town: krátky nápad,Pozeral som sa na AC Hotel Bratislava Old Town v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na AC Hotel Bratislava Old Town v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.35), s hodnotením 4.5/5 z 890 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre AC Hotel Bratislava Old Town.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre AC Hotel Bratislava Old Town.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Ponteo Activity Park Rusovce - hotel & reštaurácia,Rusovce,High,9.34,http://www.ponteo.sk/,+421 2/209 090 10,Overené z raw vstupu: web aj telefón,Hotel: Ponteo Activity Park Rusovce - hotel & reštaurácia | Mesto: Rusovce | Kategória: Hotel | Priorita: High (9.34) | Hodnotenie: 4.4/5 z 835 recenzií | Web: http://www.ponteo.sk/ | Telefón: +421 2/209 090 10 | Otváracie hodiny: recepcia PO-NE 7:30 - 22:00 (Overené vo verejnom zdroji) | Check-in / check-out: Check-in od 14:00 / Check-out do 11:00 (Overené vo verejnom zdroji),Ponteo Activity Park Rusovce - hotel & reštaurácia: krátky nápad,Pozeral som sa na Ponteo Activity Park Rusovce - hotel & reštaurácia v lokalite Rusovce.,"Dobrý deň,

Pozeral som sa na Ponteo Activity Park Rusovce - hotel & reštaurácia v lokalite Rusovce.
Pozrel som si váš verejný profil v lokalite Rusovce, s prioritou High (9.34), s hodnotením 4.4/5 z 835 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Ponteo Activity Park Rusovce - hotel & reštaurácia.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Ponteo Activity Park Rusovce - hotel & reštaurácia.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,Bratislava,High,9.34,http://www.cho.rs/,+421 910 127 878,Overené z raw vstupu: web aj telefón,Hotel: CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava | Mesto: Bratislava | Kategória: Kapsulový hotel | Priorita: High (9.34) | Hodnotenie: 4.4/5 z 784 recenzií | Web: http://www.cho.rs/ | Telefón: +421 910 127 878 | Otváracie hodiny: Reception 24/7 (Overené vo verejnom zdroji) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava: krátky nápad,Pozeral som sa na CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.34), s hodnotením 4.4/5 z 784 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Park Inn by Radisson Danube Bratislava,Bratislava,High,9.33,https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN,+421 2/593 400 00,Overené z raw vstupu: web aj telefón,Hotel: Park Inn by Radisson Danube Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.33) | Hodnotenie: 4.3/5 z 2417 recenzií | Web: https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN | Telefón: +421 2/593 400 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Park Inn by Radisson Danube Bratislava: krátky nápad,Pozeral som sa na Park Inn by Radisson Danube Bratislava v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na Park Inn by Radisson Danube Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.33), s hodnotením 4.3/5 z 2417 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Park Inn by Radisson Danube Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Park Inn by Radisson Danube Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
WX Hotel,Devínska Nová Ves,High,9.32,https://www.wxhotel.sk/,+421 948 946 835,Overené z raw vstupu: web aj telefón,Hotel: WX Hotel | Mesto: Devínska Nová Ves | Kategória: Hotel | Priorita: High (9.32) | Hodnotenie: 4.2/5 z 508 recenzií | Web: https://www.wxhotel.sk/ | Telefón: +421 948 946 835 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),WX Hotel: krátky nápad,Pozeral som sa na WX Hotel v lokalite Devínska Nová Ves.,"Dobrý deň,

Pozeral som sa na WX Hotel v lokalite Devínska Nová Ves.
Pozrel som si váš verejný profil v lokalite Devínska Nová Ves, s prioritou High (9.32), s hodnotením 4.2/5 z 508 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre WX Hotel.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre WX Hotel.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
HOTEL BRATISLAVA,Bratislava,High,9.31,http://www.hotelbratislava.sk/,+421 2/206 061 00,Overené z raw vstupu: web aj telefón,Hotel: HOTEL BRATISLAVA | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.31) | Hodnotenie: 4.1/5 z 3307 recenzií | Web: http://www.hotelbratislava.sk/ | Telefón: +421 2/206 061 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),HOTEL BRATISLAVA: krátky nápad,Pozeral som sa na HOTEL BRATISLAVA v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na HOTEL BRATISLAVA v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.31), s hodnotením 4.1/5 z 3307 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre HOTEL BRATISLAVA.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre HOTEL BRATISLAVA.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Gracia Bratislava,Bratislava,High,9.29,http://www.botelgracia.sk/,+421 2/544 321 32,Overené z raw vstupu: web aj telefón,Hotel: Hotel Gracia Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.29) | Hodnotenie: 3.9/5 z 1032 recenzií | Web: http://www.botelgracia.sk/ | Telefón: +421 2/544 321 32 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Hotel Gracia Bratislava: krátky nápad,Pozeral som sa na Hotel Gracia Bratislava v lokalite Bratislava.,"Dobrý deň,

Pozeral som sa na Hotel Gracia Bratislava v lokalite Bratislava.
Pozrel som si váš verejný profil v lokalite Bratislava, s prioritou High (9.29), s hodnotením 3.9/5 z 1032 recenzií.

Mám jeden stručný nápad, ako zlepšiť prvý dojem a dopyty pre Hotel Gracia Bratislava.
Ak bude dávať zmysel, pošlem ho v 3 bodoch.

S pozdravom","Dobrý deň,

jemne sa pripomínam k predošlej správe pre Hotel Gracia Bratislava.
Ak je to pre vás relevantné, pošlem krátky návrh v 3 bodoch.

S pozdravom",raw_bratislava region_2026-04-01_21-01-58-857.csv
