hotel_name,city,priority_band,priority_score,review_bucket,operator_triage_priority,operator_triage_action,hotel_opening_hours_status,checkin_checkout_status,checkin_checkout_source_origin,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,manual_review_reason,source_file
Loft Hotel Bratislava,Bratislava,High,9.37,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Areál vodných športov Čunovo,Čunovo,High,9.35,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
WX Hotel,Devínska Nová Ves,High,9.32,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
HOTEL BRATISLAVA,Bratislava,High,9.31,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Gracia Bratislava,Bratislava,High,9.29,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
BAROK Hotel a Apartmany,Bratislava-Petržalka,High,9.1,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
SKARITZ Hotel & Residence,Bratislava,High,9.06,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
YACHTER CLUB Modrá Čajka,Čunovo,High,9.06,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
LILAWADI - Wellness & Spa,Karlova Ves,High,9.04,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Apollo Hotel,Ružinov,High,9.04,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Dunajský Pivovar,Bratislava-Petržalka,High,8.98,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzion Zlatá Noha,Nové Mesto,High,8.97,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
HOTEL DEVÍN,Bratislava,High,8.75,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
FanatiX Squash & Fitness Center,Bratislava,High,8.73,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Color,Bratislava,High,8.73,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Divoká voda,Bratislava,High,8.71,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
RAJ zdravia,Nové Mesto,High,8.68,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Saunička,Bratislava,High,8.62,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Hradná brána,Devín,High,8.6,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
AUROOM - Spa Moments,Bratislava,High,8.6,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzión Carpatia,Záhorská Bystrica-Poľný mlyn,High,8.59,reachable_missing_checkin_checkout,P1,manual_review_before_clickup,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,Bratislava,High,9.34,single_side_verified_needs_review,P1,manual_spotcheck_then_clickup,Overené vo verejnom zdroji,Overené vo verejnom zdroji,text,single_side,yes,dns_resolution_failed_fallback_previous,single_side_verified_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Melrose Apartments,Petržalka,High,9.12,single_side_verified_needs_review,P1,manual_spotcheck_then_clickup,Verejne nepotvrdené,Overené vo verejnom zdroji,text,single_side,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | single_side_verified_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Crowne Plaza Bratislava,Bratislava,High,8.75,reachable_missing_opening_hours,P1,manual_review_before_clickup,Verejne nepotvrdené,Overené vo verejnom zdroji,text,paired,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours,raw_bratislava region_2026-04-01_21-01-58-857.csv
Falkensteiner Hotel Bratislava,Bratislava,High,8.74,reachable_missing_opening_hours,P1,manual_review_before_clickup,Verejne nepotvrdené,Overené vo verejnom zdroji,text,paired,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours,raw_bratislava region_2026-04-01_21-01-58-857.csv
Penzión Raki & Wellness,Petržalka,Medium-High,8.49,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Roset Hotel & Residence,Bratislava,Medium-High,8.48,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Max Inn,Bratislava,Medium-High,8.45,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Danubia Gate,Bratislava,Medium-High,8.45,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Tatra,Staré Mesto,Medium-High,8.43,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel SOREA REGIA Bratislava,Staré Mesto,Medium-High,8.4,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Modena,Bratislava,Medium-High,8.39,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Hotel Orlan ( hotel Ružinov , Hotels )",Ružinov,Medium-High,8.34,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Elysium Spa,Staré Mesto,Medium-High,8.34,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Albrecht,Bratislava,Medium-High,8.33,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Overené vo verejnom zdroji,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
Boutique Apartments Possonium,Bratislava,Medium-High,8.28,reachable_missing_checkin_checkout,P2,manual_review_if_capacity,Verejne nepotvrdené,Verejne nepotvrdené,,none,yes,dns_resolution_failed_fallback_previous,reachable_but_missing_opening_hours | reachable_but_missing_checkin_checkout,raw_bratislava region_2026-04-01_21-01-58-857.csv
