issue_type,severity,blocking,hotel_name,city,priority_band,details,source_file
missing_contact_data,Medium,no,Catalog Boutique Rooms,Bratislava,Low,Chýba web aj telefón.,raw_bratislava region_2026-04-01_21-01-58-857.csv
missing_contact_data,Medium,no,Ikaros Hotel,Bratislava,Low,Chýba web aj telefón.,raw_bratislava region_2026-04-01_21-01-58-857.csv
missing_contact_data,Medium,no,Optimum Devinska,Devínska Nová Ves,Low,Chýba web aj telefón.,raw_bratislava region_2026-04-01_21-01-58-857.csv
missing_contact_data,Medium,no,U Teodora Apartments,Bratislava,Low,Chýba web aj telefón.,raw_bratislava region_2026-04-01_21-01-58-857.csv
missing_contact_data,Medium,no,Penzión V Lamači - Zdenka Pánisová,Lamač,Low,Chýba web aj telefón.,raw_bratislava region_2026-04-01_21-01-58-857.csv
global_public_web_fetch_incident,High,yes,,,,Globálny incident verejného web fetchu: DNS problém zasiahol 115/115 leadov s webom (threshold 0.50).,
unverified_opening_hours,Low,no,Loft Hotel Bratislava,Bratislava,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,"Radisson Blu Carlton Hotel, Bratislava",Bratislava,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Areál vodných športov Čunovo,Čunovo,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,AC Hotel Bratislava Old Town,Bratislava,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Park Inn by Radisson Danube Bratislava,Bratislava,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,WX Hotel,Devínska Nová Ves,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,HOTEL BRATISLAVA,Bratislava,High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
