hotel_name,review_score,reviews_count,street,city,country_code,website,phone,category_name,source_url,all_categories,source_file,priority_score,priority_band
Loft Hotel Bratislava,4.7,1252,Štefánikova 864/4,Bratislava,SK,https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph,+421 901 902 680,Hotel,https://www.google.com/maps/search/?api=1&query=Loft%20Hotel%20Bratislava&query_place_id=ChIJC4TRo1CJbEcRDJ1qJRu9pI4,Hotel | Bar | Pivovar | Konferenčné priestory | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.37,High
"Radisson Blu Carlton Hotel, Bratislava",4.6,2892,Hviezdoslavovo námestie 3,Bratislava,SK,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR,+421 2/593 905 00,Hotel,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Carlton%20Hotel%2C%20Bratislava&query_place_id=ChIJw7WQnEKJbEcRUkWsThGiOlY,Hotel | Bar | Veľkoobchodný predaj | Posilňovňa | Telocvičňa | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.36,High
Areál vodných športov Čunovo,4.5,931,Vodné dielo,Čunovo,SK,http://www.divokavoda.sk/,+421 905 313 429,Hotel,https://www.google.com/maps/search/?api=1&query=Are%C3%A1l%20vodn%C3%BDch%20%C5%A1portov%20%C4%8Cunovo&query_place_id=ChIJcSxCCsh9bEcRXXi8giA85HQ,Hotel | Kemp | Firma zameraná na eventový manažment | Športový areál | Reštaurácia | Svadobný servis,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.35,High
AC Hotel Bratislava Old Town,4.5,890,Vysoká 2/A,Bratislava,SK,https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/200 200 00,Hotel,https://www.google.com/maps/search/?api=1&query=AC%20Hotel%20Bratislava%20Old%20Town&query_place_id=ChIJHb7R7qyJbEcRjVJd6e7pUhI,Hotel | Nocľah a raňajky | Veľkoobchodný predaj | Hotel na predĺžený pobyt | Miesto na konanie svadieb,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.35,High
Ponteo Activity Park Rusovce - hotel & reštaurácia,4.4,835,Starorímska 1a,Rusovce,SK,http://www.ponteo.sk/,+421 2/209 090 10,Hotel,https://www.google.com/maps/search/?api=1&query=Ponteo%20Activity%20Park%20Rusovce%20-%20hotel%20%26%20re%C5%A1taur%C3%A1cia&query_place_id=ChIJFQ3HIDB9bEcRDki5t_V48Ac,Hotel | Ihrisko na plážový volejbal | Bowlingové centrum | Kongresové centrum | Posilňovňa | Detské ihrisko | Reštaurácia | Wellness centrum | Squashový kurt | Tenisový kurt,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.34,High
CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,4.4,784,Obchodná 43,Bratislava,SK,http://www.cho.rs/,+421 910 127 878,Kapsulový hotel,https://www.google.com/maps/search/?api=1&query=CHORS%20like%20a%20hotel%20%7C%20Capsule%20%26%20NFT%20Boutique%20Hostel%20Bratislava&query_place_id=ChIJF5CPfieJbEcReoFNp1HUQZc,Kapsulový hotel | Prenájom dovolenkových apartmánov | Hostel | Hotel | Apartmán s izbovou službou | Dovolenkový apartmán,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.34,High
Park Inn by Radisson Danube Bratislava,4.3,2417,Rybné námestie 1,Bratislava,SK,https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN,+421 2/593 400 00,Hotel,https://www.google.com/maps/search/?api=1&query=Park%20Inn%20by%20Radisson%20Danube%20Bratislava&query_place_id=ChIJp0jIC2iJbEcRT6ptovY_epc,Hotel | Bar | Veľkoobchodný predaj | Posilňovňa | Telocvičňa | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.33,High
WX Hotel,4.2,508,Opletalova 1A,Devínska Nová Ves,SK,https://www.wxhotel.sk/,+421 948 946 835,Hotel,https://www.google.com/maps/search/?api=1&query=WX%20Hotel&query_place_id=ChIJ52Kt7QLzbEcRhrzHytKGoEU,Hotel | Posilňovňa | Konferenčné priestory | Reštaurácia - jedlo so sebou a donáška | Reštaurácia | Wellness centrum,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.32,High
HOTEL BRATISLAVA,4.1,3307,Seberíniho 1765/9,Bratislava,SK,http://www.hotelbratislava.sk/,+421 2/206 061 00,Hotel,https://www.google.com/maps/search/?api=1&query=HOTEL%20BRATISLAVA&query_place_id=ChIJFdNwvSyPbEcR-JkGjN9fQJE,Hotel | Kongresové centrum | Hotel na predĺžený pobyt | Konferenčné priestory | Reštaurácia,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.31,High
Hotel Gracia Bratislava,3.9,1032,Rázusovo nábrežie 32,Bratislava,SK,http://www.botelgracia.sk/,+421 2/544 321 32,Hotel,https://www.google.com/maps/search/?api=1&query=Hotel%20Gracia%20Bratislava&query_place_id=ChIJL_xSRGiJbEcRYvQCZhh9wE8,Hotel | Nocľah a raňajky | Ubytovanie pre skupiny | Reštaurácia | Ubytovanie s izbovou službou,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.29,High
Melrose Apartments,4.3,295,Betliarska 3769/12,Petržalka,SK,http://www.melroseapartman.sk/,+421 2/207 629 46,Hotel,https://www.google.com/maps/search/?api=1&query=Melrose%20Apartments&query_place_id=ChIJyScSNciJbEcRdFjO-GStdmA,Hotel | Apartmánový komplex | Ubytovanie | Reštaurácia | Bazén | Dovolenkový apartmán,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.12,High
BAROK Hotel a Apartmany,4.6,241,Sitnianska 1,Bratislava-Petržalka,SK,http://www.barok.sk/,+421 950 500 555,Hotel,https://www.google.com/maps/search/?api=1&query=BAROK%20Hotel%20a%20Apartmany&query_place_id=ChIJu61KpUqIbEcRV54KLBxj_L8,Hotel | Apartmánový komplex | Gril | Športový areál | Kongresové centrum | Konferenčné priestory | Wellness a masáže | Detské ihrisko | Bazén | Svadobný servis,raw_bratislava region_2026-04-01_21-01-58-857.csv,9.1,High
