hotel_name,city,country_code,website,phone,category_name,all_categories,review_score,reviews_count,priority_score,priority_band,hotel_opening_hours,hotel_opening_hours_status,hotel_opening_hours_source_url,hotel_opening_hours_source_type,checkin_checkout_info,checkin_checkout_status,checkin_checkout_source_url,checkin_checkout_source_type,checkin_checkout_source_origin,checkin_checkout_completeness,public_source_reachable,public_source_fetch_status,contact_status,factual_summary,give_first_insight,main_observed_issue,email_hook,micro_cta,primary_email_goal,proof_snippet,email_angle,cta_type,variant_id,test_batch,reply_outcome,source_url,source_file
Loft Hotel Bratislava,Bratislava,SK,https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph,+421 901 902 680,Hotel,Hotel | Bar | Pivovar | Konferenčné priestory | Reštaurácia,4.7,1252,9.37,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Loft Hotel Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.37) | Hodnotenie: 4.7/5 z 1252 recenzií | Web: https://www.lofthotel.sk/?utm_source=google&utm_medium=knowledge&utm_campaign=knowledgegraph | Telefón: +421 901 902 680 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Loft Hotel Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Loft%20Hotel%20Bratislava&query_place_id=ChIJC4TRo1CJbEcRDJ1qJRu9pI4,raw_bratislava region_2026-04-01_21-01-58-857.csv
"Radisson Blu Carlton Hotel, Bratislava",Bratislava,SK,https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR,+421 2/593 905 00,Hotel,Hotel | Bar | Veľkoobchodný predaj | Posilňovňa | Telocvičňa | Reštaurácia,4.6,2892,9.36,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,"Hotel: Radisson Blu Carlton Hotel, Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.36) | Hodnotenie: 4.6/5 z 2892 recenzií | Web: https://www.radissonhotels.com/en-us/hotels/radisson-blu-bratislava-carlton?cid=a:se+b:gmb+c:emea+i:local+e:rdb+d:cese+h:SKBTSCAR | Telefón: +421 2/593 905 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené)",Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,"Pozeral som sa na Radisson Blu Carlton Hotel, Bratislava v lokalite Bratislava.","Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Radisson%20Blu%20Carlton%20Hotel%2C%20Bratislava&query_place_id=ChIJw7WQnEKJbEcRUkWsThGiOlY,raw_bratislava region_2026-04-01_21-01-58-857.csv
Areál vodných športov Čunovo,Čunovo,SK,http://www.divokavoda.sk/,+421 905 313 429,Hotel,Hotel | Kemp | Firma zameraná na eventový manažment | Športový areál | Reštaurácia | Svadobný servis,4.5,931,9.35,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Areál vodných športov Čunovo | Mesto: Čunovo | Kategória: Hotel | Priorita: High (9.35) | Hodnotenie: 4.5/5 z 931 recenzií | Web: http://www.divokavoda.sk/ | Telefón: +421 905 313 429 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Areál vodných športov Čunovo v lokalite Čunovo.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Are%C3%A1l%20vodn%C3%BDch%20%C5%A1portov%20%C4%8Cunovo&query_place_id=ChIJcSxCCsh9bEcRXXi8giA85HQ,raw_bratislava region_2026-04-01_21-01-58-857.csv
AC Hotel Bratislava Old Town,Bratislava,SK,https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+421 2/200 200 00,Hotel,Hotel | Nocľah a raňajky | Veľkoobchodný predaj | Hotel na predĺžený pobyt | Miesto na konanie svadieb,4.5,890,9.35,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: AC Hotel Bratislava Old Town | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.35) | Hodnotenie: 4.5/5 z 890 recenzií | Web: https://www.marriott.com/en-us/hotels/btsar-ac-hotel-bratislava-old-town/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0 | Telefón: +421 2/200 200 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na AC Hotel Bratislava Old Town v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=AC%20Hotel%20Bratislava%20Old%20Town&query_place_id=ChIJHb7R7qyJbEcRjVJd6e7pUhI,raw_bratislava region_2026-04-01_21-01-58-857.csv
Ponteo Activity Park Rusovce - hotel & reštaurácia,Rusovce,SK,http://www.ponteo.sk/,+421 2/209 090 10,Hotel,Hotel | Ihrisko na plážový volejbal | Bowlingové centrum | Kongresové centrum | Posilňovňa | Detské ihrisko | Reštaurácia | Wellness centrum | Squashový kurt | Tenisový kurt,4.4,835,9.34,High,recepcia PO-NE 7:30 - 22:00,Overené vo verejnom zdroji,http://www.ponteo.sk/,homepage,Check-in od 14:00 / Check-out do 11:00,Overené vo verejnom zdroji,https://www.ponteo.sk/hotel/,subpage_general,text,paired,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Ponteo Activity Park Rusovce - hotel & reštaurácia | Mesto: Rusovce | Kategória: Hotel | Priorita: High (9.34) | Hodnotenie: 4.4/5 z 835 recenzií | Web: http://www.ponteo.sk/ | Telefón: +421 2/209 090 10 | Otváracie hodiny: recepcia PO-NE 7:30 - 22:00 (Overené vo verejnom zdroji) | Check-in / check-out: Check-in od 14:00 / Check-out do 11:00 (Overené vo verejnom zdroji),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Ponteo Activity Park Rusovce - hotel & reštaurácia v lokalite Rusovce.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Ponteo%20Activity%20Park%20Rusovce%20-%20hotel%20%26%20re%C5%A1taur%C3%A1cia&query_place_id=ChIJFQ3HIDB9bEcRDki5t_V48Ac,raw_bratislava region_2026-04-01_21-01-58-857.csv
CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava,Bratislava,SK,http://www.cho.rs/,+421 910 127 878,Kapsulový hotel,Kapsulový hotel | Prenájom dovolenkových apartmánov | Hostel | Hotel | Apartmán s izbovou službou | Dovolenkový apartmán,4.4,784,9.34,High,Reception 24/7,Overené vo verejnom zdroji,http://www.cho.rs/,homepage,Check-in od 15:00,Overené vo verejnom zdroji,http://www.cho.rs/,homepage,text,single_side,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava | Mesto: Bratislava | Kategória: Kapsulový hotel | Priorita: High (9.34) | Hodnotenie: 4.4/5 z 784 recenzií | Web: http://www.cho.rs/ | Telefón: +421 910 127 878 | Otváracie hodiny: Reception 24/7 (Overené vo verejnom zdroji) | Check-in / check-out: Check-in od 15:00 (Overené vo verejnom zdroji),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na CHORS like a hotel | Capsule & NFT Boutique Hostel Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=CHORS%20like%20a%20hotel%20%7C%20Capsule%20%26%20NFT%20Boutique%20Hostel%20Bratislava&query_place_id=ChIJF5CPfieJbEcReoFNp1HUQZc,raw_bratislava region_2026-04-01_21-01-58-857.csv
Park Inn by Radisson Danube Bratislava,Bratislava,SK,https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN,+421 2/593 400 00,Hotel,Hotel | Bar | Veľkoobchodný predaj | Posilňovňa | Telocvičňa | Reštaurácia,4.3,2417,9.33,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,no,dns_resolution_failed,Overené z raw vstupu: web aj telefón,Hotel: Park Inn by Radisson Danube Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.33) | Hodnotenie: 4.3/5 z 2417 recenzií | Web: https://www.radissonhotels.com/en-us/hotels/park-inn-bratislava-danube?cid=a:se+b:gmb+c:emea+i:local+e:pii+d:cese+h:SKBTSDAN | Telefón: +421 2/593 400 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Park Inn by Radisson Danube Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Park%20Inn%20by%20Radisson%20Danube%20Bratislava&query_place_id=ChIJp0jIC2iJbEcRT6ptovY_epc,raw_bratislava region_2026-04-01_21-01-58-857.csv
WX Hotel,Devínska Nová Ves,SK,https://www.wxhotel.sk/,+421 948 946 835,Hotel,Hotel | Posilňovňa | Konferenčné priestory | Reštaurácia - jedlo so sebou a donáška | Reštaurácia | Wellness centrum,4.2,508,9.32,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: WX Hotel | Mesto: Devínska Nová Ves | Kategória: Hotel | Priorita: High (9.32) | Hodnotenie: 4.2/5 z 508 recenzií | Web: https://www.wxhotel.sk/ | Telefón: +421 948 946 835 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na WX Hotel v lokalite Devínska Nová Ves.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=WX%20Hotel&query_place_id=ChIJ52Kt7QLzbEcRhrzHytKGoEU,raw_bratislava region_2026-04-01_21-01-58-857.csv
HOTEL BRATISLAVA,Bratislava,SK,http://www.hotelbratislava.sk/,+421 2/206 061 00,Hotel,Hotel | Kongresové centrum | Hotel na predĺžený pobyt | Konferenčné priestory | Reštaurácia,4.1,3307,9.31,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: HOTEL BRATISLAVA | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.31) | Hodnotenie: 4.1/5 z 3307 recenzií | Web: http://www.hotelbratislava.sk/ | Telefón: +421 2/206 061 00 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na HOTEL BRATISLAVA v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=HOTEL%20BRATISLAVA&query_place_id=ChIJFdNwvSyPbEcR-JkGjN9fQJE,raw_bratislava region_2026-04-01_21-01-58-857.csv
Hotel Gracia Bratislava,Bratislava,SK,http://www.botelgracia.sk/,+421 2/544 321 32,Hotel,Hotel | Nocľah a raňajky | Ubytovanie pre skupiny | Reštaurácia | Ubytovanie s izbovou službou,3.9,1032,9.29,High,Verejne nepotvrdené,Verejne nepotvrdené,,,Verejne nepotvrdené,Verejne nepotvrdené,,,,none,yes,dns_resolution_failed_fallback_previous,Overené z raw vstupu: web aj telefón,Hotel: Hotel Gracia Bratislava | Mesto: Bratislava | Kategória: Hotel | Priorita: High (9.29) | Hodnotenie: 3.9/5 z 1032 recenzií | Web: http://www.botelgracia.sk/ | Telefón: +421 2/544 321 32 | Otváracie hodiny: Verejne nepotvrdené (Verejne nepotvrdené) | Check-in / check-out: Verejne nepotvrdené (Verejne nepotvrdené),Pri rýchlom pozretí webu som nenašiel jasne uvedené otváracie hodiny alebo časy recepcie.,Na webe som nenašiel jasne uvedené otváracie hodiny alebo recepčné časy.,Pozeral som sa na Hotel Gracia Bratislava v lokalite Bratislava.,"Ak chcete, pošlem 3 stručné postrehy v krátkej forme.",reply_with_permission,Pozeral som len verejne dostupný profil a základné kontaktné údaje.,opening_hours_clarity,low_friction_permission,A1,raw_bratislava region_2026-04-01_21-01-58-857,,https://www.google.com/maps/search/?api=1&query=Hotel%20Gracia%20Bratislava&query_place_id=ChIJL_xSRGiJbEcRYvQCZhh9wE8,raw_bratislava region_2026-04-01_21-01-58-857.csv
