account_id,record_rank,source_file,hotel_name,hotel_name_normalized,country_code,city,state,street,website,website_domain,phone,category_name,hotel_type_class,geography_fit,independent_chain_class,ownership_type,review_score,reviews_count,icp_fit_score,icp_fit_class,non_icp_but_keep,fit_confidence,confidence_reason,review_bucket,owner_gm_decision_cycle_signal,contact_discovery_likelihood,ota_visibility_signal,website_quality,chain_signal_confidence,contact_gap_reason,contact_gap_count,why_not_top_tier,rank_bucket,rank_bucket_reason,ranking_reason,ranking_score,priority_score,priority_band,dedupe_status,duplicate_group_id,contact_duplicate_flag,review_flag,review_reason,manual_merge_candidate,source_url
acc_5970be661818,1,Sydney 100.csv,Jonah’s Restaurant & Boutique Hotel,jonah s restaurant boutique hotel,AU,Palm Beach,New South Wales,69 Bynya Rd,http://www.jonahs.com.au/,jonahs.com.au,+61 2 9974 5599,Restaurant,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,946,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.42,8.14,Medium-High,unique,jonah s restaurant boutique hotel|palm beach|69 bynya rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Jonah%E2%80%99s%20Restaurant%20%26%20Boutique%20Hotel&query_place_id=ChIJK_oJd_GzEmsRnAc-uz6u26E
acc_9f2cb7250cf5,2,Sydney 100.csv,Miramare Gardens,miramare gardens,AU,Terrey Hills,New South Wales,48 Myoora Rd,https://www.miramaregardens.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb,miramaregardens.com.au,+61 2 9450 2000,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.4,790,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Basic,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.38,8.14,Medium-High,unique,miramare gardens|terrey hills|48 myoora rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Miramare%20Gardens&query_place_id=ChIJEW_AMH1WDWsRzza2mFxAUdo
acc_462634ba1b0d,3,Sydney 100.csv,The Hornsby Inn,the hornsby inn,AU,Hornsby,NSW,"Burdett St &, 37 Hunter St",https://hornsbyinn.com.au/,hornsbyinn.com.au,+61 2 5302 9307,Pub,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.0,682,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.3,8.13,Medium-High,unique,the hornsby inn|hornsby|burdett st 37 hunter st,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=The%20Hornsby%20Inn&query_place_id=ChIJ-XMpqYanEmsRzT9mWWJ5AOI
acc_d7e3595aefb6,4,Sydney 100.csv,Billabong Retreat,billabong retreat,AU,Maraylya,New South Wales,41 Mcclymonts Rd,http://www.billabongretreat.com.au/,billabongretreat.com.au,+61 2 4573 6080,Resort hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.7,286,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,81.01,8.1,Medium-High,unique,billabong retreat|maraylya|41 mcclymonts rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Billabong%20Retreat&query_place_id=ChIJu5AHR15gDWsRWOs3jV7Cb6w
acc_50ce289c9223,5,Sydney 100.csv,Spicers Sangoma Retreat,spicers sangoma retreat,AU,Bowen Mountain,New South Wales,70 Grandview Ln,https://spicersretreats.com/retreats/spicers-sangoma-retreat/?utm_source=google&utm_medium=organic&utm_campaign=gmb,spicersretreats.com,+61 1300 352 190,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.8,248,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,80.96,8.1,Medium-High,unique,spicers sangoma retreat|bowen mountain|70 grandview ln,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Spicers%20Sangoma%20Retreat&query_place_id=ChIJna5tG9SBEmsRlVuGo7Un5yc
acc_6bb4cbb1a3e4,6,Sydney 100.csv,Seranin | Gordon,seranin gordon,AU,Gordon,New South Wales,807 Pacific Hwy,http://www.seranin.com.au/,seranin.com.au,+61 1300 821 332,Motel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,3.5,65,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,A,top_ranked,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,80.33,8.03,Medium-High,unique,seranin gordon|gordon|807 pacific hwy,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Seranin%20%7C%20Gordon&query_place_id=ChIJ-T05l4eoEmsRLpVkxu2vKdg
acc_85a1025fc0d6,7,Sydney 100.csv,Quest Bella Vista,quest bella vista,AU,Bella Vista,New South Wales,24 Norbrik Dr,http://www.questapartments.com.au/properties/nsw/bella-vista/quest-bella-vista/overview?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=bellavista,questapartments.com.au,+61 2 8818 9300,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.5,1537,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.8,7.98,Medium-High,unique,quest bella vista|bella vista|24 norbrik dr,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Quest%20Bella%20Vista&query_place_id=ChIJMcm3uwCiEmsRZe4Ix08__RE
acc_30048fcea764,8,Sydney 100.csv,Royal Hotel,royal hotel,AU,Springwood,New South Wales,220 Macquarie Rd,http://www.royalhotelspringwood.com.au/,royalhotelspringwood.com.au,+61 2 4751 1021,Pub,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.1,539,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.72,7.97,Medium-High,unique,royal hotel|springwood|220 macquarie rd,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Royal%20Hotel&query_place_id=ChIJuz9szj6HEmsRYRAG5sSsr6c
acc_401880adbecd,9,Sydney 100.csv,Quest Penrith,quest penrith,AU,Penrith,New South Wales,83 Lord Sheffield Cct,https://www.questapartments.com.au/properties/nsw/penrith/quest-penrith,questapartments.com.au,+61 2 9136 1100,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,4.6,375,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Weak,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.57,7.96,Medium-High,unique,quest penrith|penrith|83 lord sheffield cct,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Quest%20Penrith&query_place_id=ChIJb56-7pmFEmsRzntviS3eiW0
acc_40da1daa32cc,10,Sydney 100.csv,Doonside Hotel,doonside hotel,AU,Doonside,New South Wales,23 Graham St,https://www.doonsidehotel.com/,doonsidehotel.com,+61 2 9622 6585,Hotel,Preferred hotel,Out-of-profile geography,Independent candidate,Independent operator candidate,3.8,363,76.0,Keep,no,10.0,website_present | phone_present | category_present | reviews_present,manual_review,Likely shorter owner_gm_cycle,High,3.0,Strong,Low,no_major_gap,0,geo_mismatch,B,geo_mismatch,strong_icp_fit | independent_signal | preferred_hotel_type | out_of_profile_geography,79.39,7.94,Medium-High,unique,doonside hotel|doonside|23 graham st,no,yes,out_of_profile_geography,no,https://www.google.com/maps/search/?api=1&query=Doonside%20Hotel&query_place_id=ChIJ0dMcYoKZEmsRxIqUVwGiYWk
